python-setuptools 1:40.2.0-1
python-six 1.11.0-3
python-sortedcontainers 2.0.5-1
python-tornado 5.1.0-2
python-urllib3 1.23-2
python-urwid 2.0.1-2
python-webencodings 0.5.1-2
python-wsproto 0.11.0-4
python2 2.7.15-2
python2-distorm 3.3.4-3
python2-pycryptodome 3.6.6-2
python2-ujson 1.35-4
qt5-base 5.11.1-3
qt5-multimedia 5.11.1-1
qt5-x11extras 5.11.1-1
radare2 2.9.0-1
re2 20180901-1
readline 7.0.005-1
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rofi 1.5.1-1
rofi-dmenu 1-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
rtorrent 0.9.7-1
ruby 2.5.1-2
ruby-bundler 1.16.4-1
rubygems 2.7.7-1
s-nail 14.9.11-1
sdl 1.2.15-9
sdl2 2.0.8-9
sed 4.5-1
semver 5.5.1-1
shadow 4.6-1
shared-mime-info 1.10-1
siji-git r22.9d88311-1
slack-desktop 3.2.1-5
slang 2.3.2-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-1
speexdsp 1.2rc3-3
spotify 1.0.88.353-1
sqlite 3.24.0-1
startup-notification 0.12-5
sudo 1.8.25-1
sysfsutils 2.1.0-10
systemd 239.0-2
systemd-sysvcompat 239.0-2
tar 1.30-1
tdb 1.3.16-1
termite 13-3
termite-terminfo 13-3
texinfo 6.5-1
thin-provisioning-tools 0.7.6-1
transmission-qt 2.94-1
tslib 1.17-1
ttf-dejavu 2.37-2
ttf-fira-sans 1:4.202-2
ttf-liberation 2.00.1-7
tzdata 2018e-2
unzip 6.0-12
usbutils 010-1
util-linux 2.32.1-2
v4l-utils 1.14.2-1
vi 1:070224-3
vid.stab 1.1-2
vim 8.1.0374-1
vim-runtime 8.1.0374-1
virtualbox 5.2.18-1
virtualbox-host-dkms 5.2.18-1
volatility 2.6-1
vte-common 0.52.2-1
wayland 1.16.0-1
wayland-protocols 1.16-1
webrtc-audio-processing 0.3.1-1
wget 1.19.5-1
which 2.21-2
wireless_tools 30.pre9-2
wireshark-cli 2.6.3-1
wireshark-common 2.6.3-1
wireshark-qt 2.6.3-1
wpa_supplicant 1:2.6-12
x264 2:155.r0a84d986-2
x265 2.8-1
xautolock 2.2-5
xbindkeys 1.8.6-2
xbitmaps 1.1.2-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xdg-utils 1.1.3-3
xf86-input-libinput 0.28.0-1
xf86-video-vesa 2.4.0-2
xfsprogs 4.17.0-1
xkeyboard-config 2.24-1
xmlrpc-c 1:1.43.06-2
xorg-bdftopcf 1.1-1
xorg-docs 1.7.1-2
xorg-font-util 1.3.1-2
xorg-font-utils 7.6-5
xorg-fonts-100dpi 1.0.3-3
xorg-fonts-75dpi 1.0.3-3
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.4-5
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontdir 1.0.7-9
xorg-mkfontscale 1.1.3-1
xorg-server 1.20.1-1
xorg-server-common 1.20.1-1
xorg-server-devel 1.20.1-1
xorg-server-xdmx 1.20.1-1
xorg-server-xephyr 1.20.1-1
xorg-server-xnest 1.20.1-1
xorg-server-xvfb 1.20.1-1
xorg-server-xwayland 1.20.1-1
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-2
xorg-smproxy 1.0.6-2
xorg-util-macros 1.19.2-1
xorg-x11perf 1.6.0-2
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.2-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.6-2
xorg-xdpyinfo 1.3.2-2
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.2-2
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.7-2
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-2
xorg-xkbcomp 1.4.2-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.2-2
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.9-2
xorg-xpr 1.0.5-1
xorg-xprop 1.2.3-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.3-2
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.4-1
xorg-xwud 1.0.5-1
xorgproto 2018.4-1
xterm 335-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
yarn 1.9.4-1
zeromq 4.2.5-1
zita-alsa-pcmi 0.3.2-1
zita-resampler 1.6.2-1
zlib 1:1.2.11-3
zsh 5.6.1-1
zstd 1.3.5-1
